,time,nodes,edges
459,31.77,500,166.0
460,102.603,500,166.0
461,97.462,500,166.0
462,79.316,500,166.0
463,106.245,500,166.0
464,32.869,500,166.0
465,102.584,500,166.0
466,84.423,500,166.0
467,41.268,500,166.0
468,84.623,500,166.0
469,25.085,500,166.0
470,19.334,500,166.0
471,60.776,500,166.0
472,29.325,500,166.0
473,23.194,500,166.0
474,27.101,500,166.0
475,111.525,500,166.0
476,46.435,500,166.0
477,56.994,500,166.0
478,60.457,500,166.0
479,66.129,500,166.0
480,50.491,500,166.0
481,56.684,500,166.0
482,60.6,500,166.0
483,45.473,500,166.0
484,96.258,500,166.0
485,47.043,500,166.0
486,29.29,500,166.0
487,99.587,500,166.0
488,3128.267,500,166.0
489,106.852,500,166.0
490,30.931,500,166.0
491,139.28,500,166.0
492,41.812,500,166.0
493,87.302,500,166.0
494,67.109,500,166.0
495,98.922,500,166.0
496,26.957,500,166.0
497,104.582,500,166.0
498,79.988,500,166.0
499,81.003,500,166.0
500,22.53,600,200.0
501,41.098,600,200.0
502,121.324,600,200.0
503,58.019,600,200.0
504,63.734,600,200.0
505,62.496,600,200.0
506,91.137,600,200.0
507,45.856,600,200.0
508,34.42,600,200.0
509,110.989,600,200.0
510,115.242,600,200.0
511,92.129,600,200.0
512,93.027,600,200.0
513,88.156,600,200.0
514,89.26,600,200.0
515,85.129,600,200.0
516,32.772,600,200.0
517,36.378,600,200.0
518,98.699,600,200.0
519,99.582,600,200.0
520,43.278,600,200.0
521,26.147,600,200.0
522,76.344,600,200.0
523,23.318,600,200.0
524,114.14,600,200.0
525,80.943,600,200.0
526,102.249,600,200.0
527,116.115,600,200.0
528,78.409,600,200.0
529,65.677,600,200.0
530,47.096,600,200.0
531,79.494,600,200.0
532,109.801,600,200.0
533,96.739,600,200.0
534,55.953,600,200.0
535,90.733,600,200.0
536,118.444,600,200.0
537,102.122,600,200.0
538,144.766,600,200.0
539,107.546,600,200.0
540,90.229,600,200.0
541,92.36,600,200.0
542,73.201,600,200.0
543,102.481,600,200.0
544,21.456,600,200.0
545,50.813,600,200.0
546,49.462,600,200.0
547,93.218,600,200.0
548,85.701,600,200.0
549,41.557,600,200.0
550,97.671,600,200.0
551,70.51,600,200.0
552,96.104,600,200.0
553,104.23,600,200.0
554,119.782,600,200.0
555,108.217,600,200.0
556,35.839,600,200.0
557,38.006,600,200.0
558,41.741,600,200.0
559,97.135,600,200.0
560,128.813,600,200.0
561,33.753,600,200.0
562,19.962,600,200.0
563,49.821,600,200.0
564,106.257,600,200.0
565,25.443,600,200.0
566,34.519,600,200.0
567,78.915,600,200.0
568,96.554,600,200.0
569,110.442,600,200.0
570,101.529,600,200.0
571,99.087,600,200.0
572,119.792,600,200.0
573,41.896,600,200.0
574,128.532,600,200.0
575,35.363,600,200.0
576,113.888,600,200.0
577,49.296,600,200.0
578,19.653,600,200.0
579,35.879,600,200.0
580,48.836,600,200.0
581,26.31,600,200.0
582,104.872,600,200.0
583,54.873,600,200.0
584,35.092,600,200.0
585,95.768,600,200.0
586,44.665,600,200.0
587,107.109,600,200.0
588,38.614,600,200.0
589,25.479,600,200.0
590,104.571,600,200.0
591,42.247,600,200.0
592,116.402,600,200.0
593,92.26,600,200.0
594,52.412,600,200.0
595,94.108,600,200.0
596,38.381,600,200.0
597,62.486,600,200.0
598,41.665,600,200.0
599,20.793,600,200.0
600,1374.227,700,233.0
601,1284.055,700,233.0
602,117.097,700,233.0
603,4646.958,700,233.0
604,1381.143,700,233.0
605,1859.538,700,233.0
606,56.248,700,233.0
607,1542.765,700,233.0
608,3554.612,700,233.0
609,34.539,700,233.0
610,115.298,700,233.0
611,26.211,700,233.0
